PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40727709,Self-medication and off-label prescribing in post COVID-19 syndrome: Baseline data of a randomized acupressure and qigong trial.,2025,Ute Engelhardt; Rainer Nögel; Josef Hummelsberger; Anna Mietzner,"International Society for Chinese Medicine (SMS), Munich, Germany.; International Society for Chinese Medicine (SMS), Munich, Germany.; International Society for Chinese Medicine (SMS), Munich, Germany.; TCM-Praxis-Mietzner, Berlin, Germany.",
40727681,Cancellation and Resumption of Elective Surgeries Over Time Across a National Sample of US Hospitals During the COVID-19 Pandemic.,2024,Kelly C Vranas,"Center to Improve Veteran Involvement in Care, Health Services Research & Development, VA Portland Health Care System, Portland, OR.",
40727680,Impacts of ,2025,Virginie Dakuyo,"Laboratoires PHYTOFLA, Banfora BP 293, Burkina Faso.",
40727499,"Percent Pulmonary Damage on Hospital Admission is Predictive of COVID-19 Aggravation, but Serum Protein Electrophoresis is Not.",2025,Stéphane Di Mascio; Fadi Khadra; Christine Tchikladzé-Mérand; Sandrine Labroy; Mélanie Decambron,"Clinique de l'Estrée - Elsan, Stains, France.; Clinique de l'Estrée - Elsan, Stains, France.; Elsan, Paris, France.; Department of Pharmacy, Polyclinique Vauban - Elsan, Valenciennes, France.; Department of Nephrology, Polyclinique Vauban - Elsan, Valenciennes, France.",
40727315,"Physician Practices, Attitudes, and Challenges Related to Pediatric COVID-19 Vaccination in the United States.",2025,Yoonjae Kang; Fan Zhang; Tara M Vogt,"Immunization Services Division, National Center for Immunization and Respiratory Diseases, Centers for Disease Control and Prevention, Atlanta, GA.; Immunization Services Division, National Center for Immunization and Respiratory Diseases, Centers for Disease Control and Prevention, Atlanta, GA.; Immunization Services Division, National Center for Immunization and Respiratory Diseases, Centers for Disease Control and Prevention, Atlanta, GA.",
40727239,"Excess mortality and hospitalisations associated with respiratory syncytial virus, influenza, and COVID-19 among adults in Denmark (2015-2024): a modelling study.",2025,Amanda Marie Egeskov-Cavling; Caroline Klint Johannesen; Birgitte Lindegaard; Thea K Fischer,"Department of Clinical Research, North Zealand Hospital, Hilleroed, Denmark.; Department of Clinical Research, North Zealand Hospital, Hilleroed, Denmark.; Department of Pulmonary and Infectious Diseases, North Zealand Hospital, Hilleroed, Denmark.; Department of Clinical Research, North Zealand Hospital, Hilleroed, Denmark.",
40727207,Head Neck Tuberculosis Amidst COVID Pandemic: An Assessment of Change in Disease Dynamics.,2025,Sangita Bhattacharya Samaddar,"Chest and TB- Respiratory Medicine, JIMSH, Budge Budge, Kolkata, India.",
40727039,A plant secretory sequence enhances immunogenicity of electroporated COVID-19 DNA vaccines.,2025,Olivia Costantina Demurtas; Flavia Novelli; Doriana Triggiani; Caterina Merla; Emanuela Pasquali; Silvia Massa; Rosella Franconi; Claudio Pioli,"Energy and Sustainable Economic Development, Division of Biotechnologies (SSPT-BIOTEC), ENEA, Italian National Agency for New Technologies, Rome, Italy.; Energy and Sustainable Economic Development, Division of Biotechnologies (SSPT-BIOTEC), ENEA, Italian National Agency for New Technologies, Rome, Italy.; Energy and Sustainable Economic Development, Division of Biotechnologies (SSPT-BIOTEC), ENEA, Italian National Agency for New Technologies, Rome, Italy.; Energy and Sustainable Economic Development, Division of Biotechnologies (SSPT-BIOTEC), ENEA, Italian National Agency for New Technologies, Rome, Italy.; Energy and Sustainable Economic Development, Division of Biotechnologies (SSPT-BIOTEC), ENEA, Italian National Agency for New Technologies, Rome, Italy.; Energy and Sustainable Economic Development, Division of Sustainable Agrofood Systems (SSPT-AGROS), ENEA, Italian National Agency for New Technologies, Rome, Italy.; Energy and Sustainable Economic Development, Division of Biotechnologies (SSPT-BIOTEC), ENEA, Italian National Agency for New Technologies, Rome, Italy.; Energy and Sustainable Economic Development, Division of Biotechnologies (SSPT-BIOTEC), ENEA, Italian National Agency for New Technologies, Rome, Italy.",
40727032,"COVID-19 pandemic reclassification and implications for continuing uptake of COVID-19 vaccination: The case of Savannah Region, Ghana, 2023.",2025,Kwabena Adjei Sarfo; Cyril Kwami Azornu; Peter Gyamfi Kwarteng; Felix Osei-Sarpong; Janet Vanessa Baafi; Nana Akua Afriyie Bafana; Chrysantus Kubio; Sally-Ann Ohene,"Ghana Health Service, Regional Health Directorate, Damongo, Ghana.; Ghana Health Service, East Gonja Municipal Hospital, Salaga, Ghana.; United Nations Children's Fund, Country Office, Accra, Ghana.; United Nations Children's Fund, Country Office, Accra, Ghana.; Ghana Health Service, District Health Directorate, Odumase, Ghana.; Ghana Health Service, District Health Directorate, Kumasi-Oforikrom, Ghana.; Ghana Health Service, Regional Health Directorate, Damongo, Ghana.; World Health Organization, Country Office, Accra, Ghana.",
40727012,"Safety and immunogenicity of UB-612 heterologous booster in adults primed with mRNA, adenovirus, or inactivated COVID-19 vaccines: a randomized, active-controlled, Phase 3 trial.",2025,Alexander Rumyantsev; Lixia Wang; Shixia Wang; Tracy Kemp; Alana Wriggins; Amy Burks; Danielle Fisher; Katie Brokke; Amy Fix; Susan Hensley; Maggie Lewis; Ray Zhu; Kate Wang; Carolyn Shasha; Giulia Piccini; Alessandro Manenti; Emanuele Montomoli; Rodrigo DeAntonio; Xavier Saez-Llorens; Milagros Chan; Edison Alberto; Ma Dovie Lallaine Borra; Anjuli May Jaen; Gray Heppner; Ulo Palm; Thomas P Monath,"Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; AvanSight, Inc., CA, USA.; AvanSight, Inc., CA, USA.; AvanSight, Inc., CA, USA.; VisMederi srl, Siena, Italy.; VisMederi srl, Siena, Italy.; VisMederi srl, Siena, Italy.; Cevaxin, Panama City, Panama.; Cevaxin, Panama City, Panama.; Cevaxin, Panama City, Panama.; Health Index Multispecialty Clinic, Bacoor, Philippines.; St. Pauls Hospital, Iloilo, Philippines.; Iloilo Doctor's Hospital, Iloilo, Philippines.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.; Vaxxinity, Inc., FL, USA.",
40726775,Blood parameters differentiate post COVID-19 condition from Myalgic Encephalomyelitis/Chronic Fatigue Syndrome and Fibromyalgia.,2025,Justine Pierquin; Joanna Brunel; Benjamin Charvet; Eva Martín-Martínez; Hervé Perron,"Geneuro-Innovation, Bioparc Laënnec, Lyon, France.; Geneuro-Innovation, Bioparc Laënnec, Lyon, France.; Geneuro-Innovation, Bioparc Laënnec, Lyon, France.; National Health Service, Manises Hospital, Valencia, Spain.; Geneuro-Innovation, Bioparc Laënnec, Lyon, France.",
40726702,Evaluation of the impact of COVID-19 pandemic on the quality of life among the Kuwaiti population - A cross-sectional study.,2025,Mahmood A Alawainati,"Department of Family Medicine, Primary Healthcare Centers, Manama, Bahrain.",
40726698,Assessing breakthrough infections: Covishield (late schedule) versus Covaxin - A prospective comparative analysis in the general population.,2025,Nikita Sharma; Nishu Gupta; Kapil Goel; Rahul Gupta,"Department of Community and Family Medicine, AIIMS, Bilaspur, Himachal Pradesh, India.; Department of Health and Family Welfare, Government of Punjab, India.; Department of Community Medicine and SPH, PGIMER, Chandigarh, India.; Public Health Specialist, Public Health Foundation of India, Gurugram, Haryana, India.",
40726688,A separate set of guidelines for screen time used for recreation versus education-The need of hour for a child's education in post-COVID era.,2025,Narendra Rai,"Department of Paediatrics, Chandan Hospital, Lucknow, Uttar Pradesh, India.",
40726151,Depressive Symptoms in Individuals With Chronic Conditions During the Covid-19 Pandemic: A 2-Year Longitudinal Study.,2025,Øyvind Halsøy; Krister Fjermestad,"Frambu Centre for Rare Disorders, Siggerud, Norway.; Frambu Centre for Rare Disorders, Siggerud, Norway.",
40726062,Aging and Viral Evolution Impair Immunity Against Dominant Pan-Coronavirus-Reactive T Cell Epitope.,2025,Ulf Reimer; Karsten Schnatbaum; Holger Wenschuh; Florian Kern,"JPT Peptide Technologies GmbH, Berlin, Germany.; JPT Peptide Technologies GmbH, Berlin, Germany.; JPT Peptide Technologies GmbH, Berlin, Germany.; JPT Peptide Technologies GmbH, Berlin, Germany.",
40725995,Early Childhood Development and Family Adaptation During the COVID-19 Pandemic: A Mixed Methods Study.,2025,Alejandra Auza Benavides,"Language and Cognition Laboratory, Hospital General Dr. Manuel Gea González, Mexico, Mexico.",
40725818,"Prevalence, Outcomes and Healthcare Costs of Postoperative ARDS Compared with Medical ARDS.",2025,Miguel Bardají-Carrillo; Rocío López-Herrero; Mario S Espinoza-Fernández; Lucía Alonso-Villalobos; Rosa Cobo-Zubia; Rosa Prieto-Utrera; Irene Arroyo-Hernantes; Esther Gómez-Sánchez; Luigi Camporota; Eduardo Tamayo,"BioCritic, Group for Biomedical Research in Critical Care Medicine, 47003 Valladolid, Spain.; BioCritic, Group for Biomedical Research in Critical Care Medicine, 47003 Valladolid, Spain.; BioCritic, Group for Biomedical Research in Critical Care Medicine, 47003 Valladolid, Spain.; BioCritic, Group for Biomedical Research in Critical Care Medicine, 47003 Valladolid, Spain.; BioCritic, Group for Biomedical Research in Critical Care Medicine, 47003 Valladolid, Spain.; BioCritic, Group for Biomedical Research in Critical Care Medicine, 47003 Valladolid, Spain.; BioCritic, Group for Biomedical Research in Critical Care Medicine, 47003 Valladolid, Spain.; BioCritic, Group for Biomedical Research in Critical Care Medicine, 47003 Valladolid, Spain.; Department of Adult Critical Care, Guy's and St Thomas' NHS Foundation Trust, Westminster Bridge Road, London SE1 7EH, UK.; BioCritic, Group for Biomedical Research in Critical Care Medicine, 47003 Valladolid, Spain.",
40725601,Assessment of Selected Biochemical Parameters of the Renin-Angiotensin-Aldosterone System in Repeat Convalescent Plasma Donors in the Context of Long-Term Changes Following SARS-CoV-2 Infection.,2025,Marta Stanek,"Regional Center of Transfusion Medicine and Blood Bank, 50-345 Wrocław, Poland.",
40725569,Radiologic and Clinical Correlates of Long-Term Post-COVID-19 Pulmonary Sequelae.,2025,Emre Uysal,"Department of Radiation Oncology, Prof. Dr. Cemil Tascioglu City Hospital, 34384 Istanbul, Turkey.",
40725250,Afucosylated IgG Promote Thrombosis in Mouse Injected with SARS-CoV-2 Spike Expressing Megakaryocytes.,2025,Fadila Guessous; Farid Jalali,"Oncopathology, Biology and Environment of Cancer Laboratory, Mohammed VI Center for Research and Innovation, Rabat 10112, Morocco.; Department of Gastroenterology, Saddleback Medical Group, Laguna Hills, CA 92653, USA.",
